time,FL_p_test,TC_t_test
1.870555555555556,"[0.4602984979830726, -45.55948317854482, 34.74086884072403]","[-0.7725423615368209, -42.70205423739785, 38.193508508877606]"
1.880505050505051,"[0.4009300026106432, -44.87893958863439, 35.616378066059106]","[-0.6676069261776536, -48.54767141483628, 30.42177265053686]"
1.890454545454546,"[0.4053043711059316, -45.57420346772246, 34.72224152702618]","[-0.6648143161879353, -43.27708779721565, 37.542749549398]"
1.900404040404041,"[0.3561773873851976, -46.77921085736717, 33.08148907232624]","[-0.6476298491447385, -48.28623776276844, 30.83546932199405]"
1.910353535353535,"[0.32353475803594056, -45.89361154592712, 34.299826450634285]","[-0.5489466388287234, -48.80417109690869, 30.010962849317686]"
1.920303030303031,"[0.30016321184539646, -45.52156063421482, 34.79229468551195]","[-0.48910301608470175, -48.0977133207839, 31.13160936352453]"
1.930252525252525,"[0.28569555418207154, -45.31493259267266, 35.06111253488111]","[-0.4493675279729689, -46.47129013148592, 33.51154446383823]"
1.94020202020202,"[0.27097206933139717, -45.71938636401115, 34.532168113914565]","[-0.42772537973645786, -45.438434622421376, 34.89945644383609]"
1.950151515151515,"[0.2503376385338594, -45.83337594340675, 34.38088612454339]","[-0.39509415647665, -45.8113760552756, 34.40883715764576]"
1.96010101010101,"[0.22768218631524728, -45.91231300982147, 34.27556016933869]","[-0.36177220468088805, -47.13226201078061, 32.57645389895578]"
1.970050505050505,"[0.2081198157812883, -46.596919177642334, 33.33901857143205]","[-0.3451326765952864, -48.46301350622163, 30.561798954627502]"
1.98,"[0.19557245048225563, -47.29789443434861, 32.33693373691405]","[-0.336273175698473, -48.35000306292285, 30.740372056603356]"
1.989949494949495,"[0.1857822809543846, -47.487590291427324, 32.057769780029375]","[-0.32024789610077703, -47.87280335821386, 31.47854014916471]"
1.99989898989899,"[0.17621435410526493, -47.497885085787736, 32.04256873114974]","[-0.30271112899289077, -47.99202743160278, 31.296645490985366]"
